frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
0,1,bus,653,449,851,728,752,588
0,2,car,294,555,443,674,368,614
0,3,truck,0,843,170,1066,85,954
0,4,car,183,844,428,1077,305,960
0,5,car,605,490,701,595,653,542
0,6,person,1778,903,1817,998,1797,950
0,7,car,550,408,645,492,597,450
0,8,truck,1324,453,1402,563,1363,508
0,9,car,689,351,772,429,730,390
0,10,car,1321,602,1381,687,1351,644
0,11,car,1519,830,1628,967,1573,898
0,12,car,624,310,695,370,659,340
0,13,person,1559,700,1581,760,1570,730
0,14,car,794,265,841,309,817,287
0,15,car,575,737,736,941,655,839
0,16,person,1072,543,1096,603,1084,573
0,17,person,1591,698,1616,759,1603,728
0,18,person,945,576,981,635,963,605
0,19,person,39,987,108,1074,73,1030
0,20,motorcycle,947,600,979,667,963,633
0,21,car,768,200,808,233,788,216
0,22,person,1215,501,1241,556,1228,528
0,23,truck,1401,621,1510,741,1455,681
0,24,car,1303,548,1359,616,1331,582
0,25,truck,1247,349,1295,417,1271,383
0,26,motorcycle,875,402,905,455,890,428
0,27,truck,419,846,561,1040,490,943
0,28,person,1615,866,1643,954,1629,910
0,29,car,1401,620,1510,741,1455,680
0,30,person,947,402,976,456,961,429
0,31,car,1273,496,1323,559,1298,527
0,32,car,736,271,782,325,759,298
0,33,car,833,222,863,259,848,240
0,34,motorcycle,947,423,977,473,962,448
1,1,bus,654,450,850,732,752,591
1,4,car,172,858,420,1078,296,968
1,2,car,288,557,437,679,362,618
1,7,car,548,409,644,495,596,452
1,5,car,600,493,698,600,649,546
1,19,person,17,1008,89,1079,53,1043
1,8,truck,1323,453,1402,564,1362,508
1,10,car,1321,601,1380,687,1350,644
1,11,car,1519,832,1629,965,1574,898
1,27,truck,410,859,552,1031,481,945
1,14,car,792,265,841,310,816,287
1,9,car,689,352,769,431,729,391
1,16,person,1072,541,1096,604,1084,572
1,17,person,1591,697,1614,759,1602,728
1,12,car,622,312,692,373,657,342
1,13,person,1558,699,1581,761,1569,730
1,3,truck,0,852,162,1075,81,963
1,20,motorcycle,945,606,978,674,961,640
1,18,person,946,582,979,633,962,607
1,6,person,1777,902,1816,995,1796,948
1,22,person,1216,506,1242,557,1229,531
1,24,car,1303,547,1359,616,1331,581
1,32,car,735,272,782,326,758,299
1,25,truck,1246,349,1293,416,1269,382
1,29,car,1400,620,1510,741,1455,680
1,21,car,766,201,807,234,786,217
1,15,truck,571,743,734,949,652,846
1,23,truck,1401,621,1509,740,1455,680
1,31,car,1274,496,1322,559,1298,527
1,28,person,1616,867,1643,954,1629,910
2,1,bus,651,453,848,737,749,595
2,2,car,282,561,433,683,357,622
2,7,car,544,411,642,498,593,454
2,5,car,597,496,696,604,646,550
2,4,car,160,870,413,1079,286,974
2,8,truck,1323,452,1401,564,1362,508
2,11,car,1520,833,1636,962,1578,897
2,10,car,1322,602,1381,687,1351,644
2,12,car,619,313,690,373,654,343
2,27,truck,400,871,545,1066,472,968
